
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-05-05;27.177,79;3704892458526;28.727,82;2760851933201;28.711,36;3951269484062;27.366,29;143345945244;26.693,12;628223541717;27.080,03;5469131370141
2015-05-06;27.099,72;3692844480949;28.634,80;2751841250045;28.621,44;3939280498403;27.303,73;142856001794;26.630,63;627221941219;27.007,45;5454698018733
2015-05-07;27.031,50;3685444042447;28.555,49;2741225221011;28.540,79;3927632528522;27.248,16;142637249741;26.567,42;625771817847;26.916,66;5438177007991
2015-05-08;26.998,89;3680702930667;28.520,45;2737784919220;28.502,44;3922377501043;27.226,95;142543122362;26.538,51;625021967984;26.898,06;5430202868979
2015-05-09;26.998,89;3680702930667;28.520,45;2737784919220;28.502,44;3922377501043;27.226,95;142543122362;26.538,51;625021967984;26.898,06;5430202868979
2015-05-10;26.998,89;3680702930667;28.520,45;2737784919220;28.502,44;3922377501043;27.226,95;142543122362;26.538,51;625021967984;26.898,06;5430202868979
2015-05-11;27.027,49;3683035936159;28.572,72;2738938713607;28.547,75;3926620642173;27.267,38;142695095295;26.580,31;624906275784;26.946,55;5437805564667
2015-05-12;27.043,06;3685343147482;28.591,13;2736578489880;28.568,68;3918030629783;27.287,46;142855798929;26.598,40;625368620421;26.966,81;5438122533046
2015-05-13;26.980,59;3668375935442;28.516,50;2731138628287;28.483,63;3907794223515;27.253,44;143127038091;26.533,44;624122770965;26.863,95;5417817917432
2015-05-14;26.930,02;3663635573225;28.466,52;2727808160066;28.429,60;3902259101206;27.202,48;142505885359;26.492,24;621232473406;26.815,71;5406008160744
2015-05-15;26.877,57;3657599593288;28.406,45;2722988053552;28.372,37;3895091765017;27.137,06;143064413530;26.454,98;619665588734;26.797,20;5393792029550
2015-05-16;26.877,57;3657599593288;28.406,45;2722988053552;28.372,37;3895091765017;27.137,06;143064413530;26.454,98;619665588734;26.797,20;5393792029550
2015-05-17;26.877,57;3657599593288;28.406,45;2722988053552;28.372,37;3895091765017;27.137,06;143064413530;26.454,98;619665588734;26.797,20;5393792029550
