
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-06-08;31.039,50;3697572455127;32.409,59;3466609477689;32.202,99;4862820447947;30.928,59;836284721553;31.558,23;458690178608;30.929,65;4640711758112
2015-06-09;30.912,69;3682469875175;32.267,44;3451341210846;32.070,08;4842470907256;30.794,66;833282308727;31.432,90;457035791091;30.793,29;4621032519089
2015-06-10;30.592,60;3642369183382;31.938,88;3416325027054;31.748,31;4794414633255;30.471,27;825672170280;31.131,29;452987337967;30.476,31;4574961841107
2015-06-11;30.661,81;3650365863670;32.015,04;3425552243828;31.840,28;4810359291985;30.570,12;830450509130;31.223,92;454807356019;30.529,37;4585186659310
2015-06-12;30.904,78;3680578217702;32.255,01;3454940396732;32.060,22;4847463461434;30.810,10;843685957701;31.435,03;458540718481;30.758,72;4623507707164
2015-06-13;30.904,78;3680578217702;32.255,01;3454940396732;32.060,22;4847463461434;30.810,10;843685957701;31.435,03;458540718481;30.758,72;4623507707164
2015-06-14;30.904,78;3680578217702;32.255,01;3454940396732;32.060,22;4847463461434;30.810,10;843685957701;31.435,03;458540718481;30.758,72;4623507707164
2015-06-15;30.871,93;3675099407048;32.207,92;3452433195611;32.025,43;4845722335634;30.752,42;844021953873;31.401,94;457240948874;30.726,97;4620761830597
2015-06-16;30.796,21;3669728574689;32.130,83;3446296455989;31.954,55;4837722760404;30.680,54;846806638053;31.326,66;457096283982;30.655,00;4615544662200
2015-06-17;30.767,73;3668884828816;32.107,61;3444294294870;31.929,81;4837026230068;30.659,69;847298927302;31.306,24;459529682766;30.627,98;4612606540481
2015-06-18;30.910,33;3685405322615;32.253,44;3459271009209;32.073,19;4858593555986;30.806,25;851719915632;31.427,78;461336786065;30.766,37;4633255215770
2015-06-19;30.764,55;3668340283421;32.101,91;3443753791279;31.920,69;4835197010051;30.671,59;848048680970;31.312,01;459886198623;30.618,71;4610821643435
2015-06-20;30.764,55;3668340283421;32.101,91;3443753791279;31.920,69;4835197010051;30.671,59;848048680970;31.312,01;459886198623;30.618,71;4610821643435
2015-06-21;30.764,55;3668340283421;32.101,91;3443753791279;31.920,69;4835197010051;30.671,59;848048680970;31.312,01;459886198623;30.618,71;4610821643435
2015-06-22;30.803,63;3672136373165;32.151,68;3448436708318;31.975,86;4842819336507;30.724,07;849786084743;31.355,58;460845919023;30.662,94;4617526758675
